Acronym;SAT ID;Launch;(expected) EOL;Satellite Programme;Agencies;Orbit;Altitude;Longitude;Inclination;Ect;Sat status;Payload;Last update
Diadéme-2;637;1967-02-15;2049-11-30;Diadéme;"CNES
";DRIFT;990 km;;39.4°;;Operational;"AIRS
AMSR-E
AMSU-A
CERES
HSB
MODIS";2021-01-18 18:41:15
ESSA-5;95;1967-04-20;1970-02-20;TIROS Operational System;"NOAA
NASA";SunSync;1390 km;;;09:30 desc;Inactive;"DCS/A
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
MSU-GS/A";2021-04-07 14:09:33
ATS-3;14;1967-11-06;1978-12-01;Application Technology Satellite;"NASA
";GEO;35786 km;45 ° W;;;Inactive;"DCS/A
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
MSU-GS/A";2021-04-07 13:33:01
ESSA-6;96;1967-11-10;1969-12-03;TIROS Operational System;"NOAA
NASA";SunSync;1450 km;;;09:30 desc;Inactive;"DCS/A
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
MSU-GS/A";2021-04-07 13:36:51
ESSA-7;97;1968-08-16;1970-03-10;TIROS Operational System;"NOAA
NASA";SunSync;1450 km;;;09:30 desc;Inactive;"DCS/A
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
MSU-GS/A";2021-04-07 13:35:11
ESSA-8;98;1968-12-15;1976-03-12;TIROS Operational System;"NOAA
NASA";SunSync;1440 km;;;09:30 desc;Inactive;"DCS/A
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
MSU-GS/A";2021-04-07 13:35:47
ESSA-9;99;1969-02-26;1972-11-12;TIROS Operational System;"NOAA
NASA";SunSync;1470 km;;;09:30 desc;Inactive;"EFI (THEMIS)
ESA
FGM (THEMIS)
SCM
SST";2021-01-18 23:01:21
Meteor-1-1;229;1969-03-26;1970-01-26;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;560 km;;81.2°;;Inactive;"EFI (THEMIS)
ESA
FGM (THEMIS)
SCM
SST";2021-01-18 23:28:49
Nimbus-3;317;1969-04-13;1972-01-22;Nimbus;"NASA
";SunSync;1100 km;;;12:00 desc;Inactive;"CO2 lidar
CO sensor";2017-07-20 15:15:07
Meteor-1-2;230;1969-10-06;1970-07-06;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;530 km;;81.2°;;Inactive;OPS (ASNARO);2021-01-18 21:54:38
ITOS-1 (TIROS-M);203;1970-01-23;1971-06-18;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1470 km;;;14:30 asc;Inactive;XSAR;2019-10-27 13:23:32
Meteor-1-3;231;1970-03-17;1970-12-17;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;680 km;;81.2°;;Inactive;SSCC;2016-10-18 17:19:44
Nimbus-4;318;1970-04-08;1980-09-30;Nimbus;"NASA
";SunSync;1100 km;;;12:00 desc;Inactive;MSSCC;2015-07-27 19:47:27
Meteor-1-4;232;1970-04-28;1971-01-28;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;560 km;;81.2°;;Inactive;VHRR (ATS);2015-07-27 19:48:07
Meteor-1-5;233;1970-06-23;1971-03-23;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;840 km;;81.2°;;Inactive;"HIRDLS
MLS  (EOS-Aura)
OMI 
TES-limb
TES-nadir";2021-01-18 18:42:57
Meteor-1-6;234;1970-10-15;1971-07-15;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;440 km;;81.2°;;Inactive;"CMT
SLIM6";2019-12-27 20:34:43
NOAA-1;323;1970-12-11;1971-08-19;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1450 km;;;13:30 asc;Inactive;"COBAN
MSIS
PanCam";2015-07-27 19:49:25
Meteor-1-7;235;1971-01-20;1971-10-20;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;540 km;;81.2°;;Inactive;SAR-P;2020-02-08 19:27:37
Meteor-1-8;236;1971-04-17;1972-01-17;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;250 km;;81.2°;;Inactive;"HORUS
HSRS
WAOSS-B";2015-07-27 19:50:18
Meteor-1-9;237;1971-07-16;1972-04-16;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;350 km;;81.2°;;Inactive;SpaceView 24;2019-03-23 17:35:20
Meteor-1-10;238;1971-12-29;1972-09-29;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;870 km;;81.2°;;Inactive;SpaceView 24;2019-03-23 17:43:01
Meteor-1-11;239;1972-03-30;1972-12-30;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;870 km;;81.2°;;Inactive;SpaceView 24;2019-12-01 20:06:20
Meteor-1-12;240;1972-06-30;1973-03-30;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;880 km;;81.2°;;Inactive;SpaceView 24;2019-12-01 20:07:06
Landsat-1 (ERTS);219;1972-07-23;1978-01-02;Landsat;"USGS
NASA";SunSync;907 km;;;10:00 desc;Inactive;SpaceView 24;2021-03-24 09:42:49
NOAA-2;324;1972-10-13;1975-01-30;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1450 km;;;14:30 asc;Inactive;SpaceView 24;2021-04-01 22:08:49
Meteor-1-13;241;1972-10-26;1973-07-26;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;SpaceView 24;2021-04-01 22:07:01
Nimbus-5;319;1972-12-10;1983-03-29;Nimbus;"NASA
";SunSync;1100 km;;;12:00 desc;Inactive;SpaceView 24;2021-04-01 22:01:32
Meteor-1-14;242;1973-03-20;1973-12-20;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;850 km;;81.2°;;Inactive;SpaceView 24;2021-04-01 22:02:33
Meteor-1-15;243;1973-05-29;1974-02-28;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"CERTO
CINDI
CORISS
DIDM
PLP
VEFI";2016-07-22 17:36:15
NOAA-3;325;1973-11-06;1976-08-31;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1500 km;;;14:30 asc;Inactive;"CALIOP
IIR
WFC";2021-01-18 18:00:49
Meteor-1-16;244;1974-03-05;1974-12-05;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;850 km;;81.2°;;Inactive;;2013-02-20 15:33:41
Meteor-1-17;245;1974-04-24;1975-01-24;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;870 km;;81.2°;;Inactive;PAN (CartoSat-1);2020-01-03 20:24:08
ATS-6;15;1974-04-30;1979-08-03;Application Technology Satellite;"NASA
";GEO;35786 km;94 ° W;;;Inactive;PAN (CartoSat-2A/B);2020-01-03 20:29:02
SMS-1;409;1974-05-17;1981-01-21;Synchronous Meteorological Satellite;"NASA
NOAA";GEO;35786 km;75 ° W;;;Inactive;PAN (CartoSat-2A/B);2021-01-18 18:07:33
Meteor-P1;580;1974-07-09;1976-07-09;Meteor-Priroda;"Roscosmos
RosHydroMet";DRIFT;890 km;;81.2°;;Inactive;PAN (CartoSat-2A/B);2021-01-18 18:17:29
Meteor-1-19;246;1974-10-28;1975-12-01;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"EvM
HRMX
PAN (CartoSat 2C/D";2020-01-04 15:23:36
NOAA-4;326;1974-11-15;1978-11-18;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1450 km;;;14:30 asc;Inactive;"EvM
HRMX
PAN (CartoSat 2C/D";2020-01-04 15:24:19
Meteor-1-20;247;1974-12-17;1975-09-17;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"EvM
HRMX
PAN (CartoSat 2C/D";2020-01-04 15:25:37
Landsat-2;220;1975-01-22;1982-02-25;Landsat;"USGS
NASA";SunSync;908 km;;;10:00 desc;Inactive;"EvM
HRMX
PAN (CartoSat 2C/D";2020-01-04 15:26:14
SMS-2;410;1975-02-06;1982-08-05;Synchronous Meteorological Satellite;"NASA
NOAA";GEO;35786 km;135 ° W;;;Inactive;"MX
PAN (CartoSat-3)";2020-02-25 22:05:33
STARLETTE;419;1975-02-06;2049-11-30;Satellite de Taille Adaptée avec Réflecteurs Laser pour les Etudes de la Terre;"CNES
";DRIFT;812 km;;49.8°;;Operational;AEISS-HR;2021-03-22 09:58:57
Meteor-1-21;248;1975-04-01;1976-07-01;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;870 km;;81.2°;;Inactive;AEISS-HR;2021-01-19 16:30:17
Nimbus-6;320;1975-06-12;1983-03-29;Nimbus;"NASA
";SunSync;1100 km;;;12:00 desc;Inactive;"CER
FAI
GAP
IRM
MGF (CASSIOPE)
NMS
RRI
SEI";2021-04-08 11:32:25
Meteor-2-1;254;1975-07-11;1977-01-11;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.3°;;Inactive;"DCS (CBERS)
HRCC
IRMSS
WFI";2015-07-27 19:51:51
Meteor-1-22;249;1975-09-18;1976-12-01;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;850 km;;81.2°;;Inactive;"DCS (CBERS)
HRCC
IRMSS
WFI";2015-07-27 19:52:36
GOES-1;137;1975-10-16;1985-03-07;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;"DCS (CBERS)
HRCC
HRPC
WFI";2015-07-27 19:53:14
Meteor-1-23;250;1975-12-25;1976-09-25;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"DCS (CBERS)
IRMSS-2
MUXCAM
PANMUX
WFI-2";2015-07-27 19:54:01
Meteor-1-24;251;1976-04-07;1977-01-07;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"DCS (CBERS)
IRMSS-2
MUXCAM
PANMUX
WFI-2";2021-01-18 18:20:22
LAGEOS-1;217;1976-05-04;2025-11-30;Laser Geodynamics Satellite;"ASI
NASA";DRIFT;5900 km;;109.8°;;Operational;"DCS (CBERS)
IRMSS-2
MUXCAM
PANMUX
WFI-2";2020-04-01 01:14:47
Meteor-P2;581;1976-05-15;1978-05-15;Meteor-Priroda;"Roscosmos
RosHydroMet";DRIFT;890 km;;81.2°;;Inactive;"SCAT (CFOSAT)
SWIM";2019-10-30 18:50:25
NOAA-5;327;1976-07-29;1979-07-16;NOAA 3rd generation / Improved TIROS Operational System;"NOAA
NASA";SunSync;1510 km;;;14:30 asc;Inactive;"SCAT (CFOSAT)
SWIM";2019-10-30 18:54:20
DMSP-F01;48;1976-09-11;1979-09-17;Defense Meteorological Satellite Program - Block 5D-1;"DoD
NOAA";SunSync;820 km;;;06:20 desc;Inactive;"ASC
BlackJack (CHAMP)
DIDM
LRR (DLR)
MIAS
STAR";2015-08-24 18:55:52
Meteor-1-26;252;1976-10-15;1977-07-15;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;CION;2020-09-29 15:15:40
Meteor-2-2;255;1977-01-06;1978-07-06;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;880 km;;81.3°;;Inactive;CIMR;2021-02-24 15:46:53
Meteor-1-27;253;1977-04-05;1978-01-05;Meteor-1;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"GNSS-RO
IR spectrometer";2016-06-30 01:46:02
DMSP-F02;49;1977-06-04;1978-03-19;Defense Meteorological Satellite Program - Block 5D-1;"DoD
NOAA";SunSync;832 km;;;10:00 desc;Inactive;SW spectrometer;2016-06-30 01:46:43
GOES-2;138;1977-06-16;1993-07-01;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;75 ° W;;;Inactive;"GNSS-RO
IR spectrometer";2016-06-30 01:47:21
Himawari-1 (GMS-1);160;1977-07-14;1989-06-30;Himawari 1st generation (Geostationary Meteorological Satellite);"JMA
JAXA";GEO;35786 km;140 ° E;;;Inactive;SW spectrometer;2016-06-30 01:48:19
Meteor-P3;582;1977-07-29;1979-07-29;Meteor-Priroda;"Roscosmos
RosHydroMet";SunSync;640 km;;;10:15 asc;Inactive;CPR (CloudSat);2021-01-18 18:21:48
Meteosat-1;295;1977-11-23;1979-11-24;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;"ASPOC
CIS
EDI
EFW (CLUSTER)
FGM
PEACE
RAPID
STAFF
WBD
WHISPER";2021-01-27 14:37:43
Meteor-2-3;256;1977-12-14;1979-06-14;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;"ASPOC
CIS
EDI
EFW (CLUSTER)
FGM
PEACE
RAPID
STAFF
WBD
WHISPER";2021-01-27 14:37:10
Landsat-3;221;1978-03-05;1983-03-31;Landsat;"USGS
NASA";SunSync;915 km;;;10:00 desc;Inactive;"ASPOC
CIS
EDI
EFW (CLUSTER)
FGM
PEACE
RAPID
STAFF
WBD
WHISPER";2021-01-27 14:39:23
HCMM;586;1978-04-26;1980-09-30;Heat Capacity Mapping Mission;"NASA
";SunSync;620 km;;;14:00 asc;Inactive;"ASPOC
CIS
EDI
EFW (CLUSTER)
FGM
PEACE
RAPID
STAFF
WBD
WHISPER";2021-01-27 14:42:39
DMSP-F03;50;1978-04-30;1979-12-01;Defense Meteorological Satellite Program - Block 5D-1;"DoD
NOAA";SunSync;810 km;;;06:20 desc;Inactive;"Altimeter (COMPIRA)
SHIOSAI";2021-01-16 12:33:21
GOES-3;139;1978-06-16;1993-07-01;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;"GOCI
MI";2021-04-07 14:18:02
SeaSat;394;1978-06-27;1978-10-10;SeaSat;"NASA
";DRIFT;785 km;;108°;;Inactive;"SMEI
WindSat";2021-03-04 19:45:07
TIROS-N;441;1978-10-13;1981-02-27;National Oceanic and Atmospheric Administration - 4th generation;"NOAA
NASA";SunSync;850 km;;;14:30 asc;Inactive;"AVS
DIFOS
DIOGENESS
HELICON
IMAP-5
IRIS (Coronas)
RES-C
RESIK
RPS-1
SKL-particles
SKL-rad
SORS
SPR-N
SUFR-Sp-C
TEREK-C
VUSS";2015-07-27 19:59:35
Nimbus-7;321;1978-10-24;1994-08-01;Nimbus;"NASA
";SunSync;947 km;;;12:00 desc;Inactive;"AVS
DIFOS
DIOGENESS
HELICON
IRIS (Coronas)
RES-C
SKL-particles
SKL-rad
SORS
SUFR-Sp-C
TEREK-C
VUSS";2015-07-27 20:00:42
Meteor-P4;583;1979-01-25;1981-01-25;Meteor-Priroda;"Roscosmos
RosHydroMet";SunSync;640 km;;;10:15 asc;Inactive;"BRM
Electron-M-PESCA
Konus-RF
Natalya-2M-particles
Natalya-2M-rad
PHOKA
Penguin-M
RT-2
SM-8M
STEP-F
TESIS";2015-07-27 20:01:48
Meteor-2-4;257;1979-03-01;1980-09-01;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;850 km;;81.2°;;Inactive;"CERTO/TBB
IGOR (COSMIC)
TIP";2020-05-08 13:12:24
DMSP-F04;51;1979-06-06;1980-08-09;Defense Meteorological Satellite Program - Block 5D-1;"DoD
NOAA";SunSync;840 km;;;10:00 desc;Inactive;"RFB
TGRS (COSMIC-2)
VIDI";2020-07-29 16:27:34
NOAA-6;328;1979-06-27;1987-03-31;National Oceanic and Atmospheric Administration - 4th generation;"NOAA
NASA";SunSync;840 km;;;07:30 desc;Inactive;TGRS (COSMIC-2);2017-10-25 11:00:40
Meteor-2-5;258;1979-10-31;1981-04-30;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;870 km;;81.2°;;Inactive;MEA;2016-10-10 16:55:24
SMM;407;1980-02-14;1989-11-24;Solar Maximum Mission;"NASA
";DRIFT;510 km;;28.5°;;Inactive;"DORIS
LRR (ESA)
SIRAL";2021-03-11 16:26:11
Meteor-P5;584;1980-06-18;1982-06-18;Meteor-Priroda;"Roscosmos
RosHydroMet";SunSync;630 km;;;10:15 asc;Inactive;"DORIS
LRR (ESA)
SIRAL";2021-01-18 18:26:50
DMSP-F05;52;1980-07-14;1980-07-14;Defense Meteorological Satellite Program - Block 5D-1;"DoD
NOAA";SunSync;820 km;;;06:20 ;Inactive;CSG-SAR;2020-04-01 01:13:17
GOES-4;140;1980-09-09;1988-11-22;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;CSG-SAR;2021-01-16 11:53:44
Meteor-2-6;259;1980-09-09;1982-03-09;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.2°;;Inactive;SIM;2019-07-15 15:10:31
Meteor-2-7;260;1981-05-14;1982-11-14;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;860 km;;81.3°;;Inactive;SAR-2000;2021-01-18 18:27:34
GOES-5;141;1981-05-22;1990-07-18;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;75 ° W;;;Inactive;SAR-2000;2021-01-18 18:28:45
Meteosat-2;296;1981-06-19;1991-12-02;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;SAR-2000;2021-01-18 18:29:24
NOAA-7;329;1981-06-23;1986-06-07;National Oceanic and Atmospheric Administration - 4th generation;"NOAA
NASA";SunSync;860 km;;;14:30 asc;Inactive;SAR-2000;2021-01-18 18:29:59
Meteor-P6;585;1981-07-10;1983-07-10;Meteor-Priroda;"Roscosmos
RosHydroMet";SunSync;650 km;;;10:15 asc;Inactive;DDMI;2020-08-20 12:28:35
Himawari-2 (GMS-2);161;1981-08-11;1987-11-20;Himawari 1st generation (Geostationary Meteorological Satellite);"JMA
JAXA";GEO;35786 km;140 ° E;;;Inactive;SLIM6;2020-01-01 03:14:49
Meteor-2-8;261;1982-03-25;1983-09-25;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;940 km;;82.5°;;Inactive;HiRAIS;2017-08-03 00:15:34
INSAT-1A;181;1982-04-10;1982-09-06;Indian National Satellite - 1;"ISRO
";GEO;35786 km;74 ° E;;;Inactive;"InSAR
VCL";2018-06-20 23:26:16
Landsat-4;222;1982-07-16;1992-11-30;Landsat;"USGS
NASA";SunSync;705 km;;;10:00 desc;Inactive;RRA (CNES);2015-07-28 09:56:31
Meteor-2-9;262;1982-12-14;1984-06-14;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;840 km;;81.3°;;Inactive;RRA (CNES);2015-07-28 09:57:00
DMSP-F06;53;1982-12-21;1997-11-10;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;824 km;;;06:20 desc;Inactive;"OLS
SEM/SSB/X-2
SEM/SSJ4";2015-07-28 09:58:09
NOAA-8;330;1983-03-28;1985-12-29;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;820 km;;;07:30 desc;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4";2015-07-28 09:58:50
GOES-6;142;1983-04-28;1989-07-01;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSJ4";2015-07-28 09:59:48
INSAT-1B;182;1983-08-30;1993-07-15;Indian National Satellite - 1;"ISRO
";GEO;35786 km;74 ° E;;;Inactive;"OLS
SEM/SSI/ES-2
SEM/SSJ4
SSM/T";2015-07-28 10:01:01
Meteor-2-10;263;1983-10-28;1985-04-28;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;810 km;;81.2°;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4";2015-07-28 10:02:38
DMSP-F07;54;1983-11-18;1988-05-16;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;835 km;;;10:10 desc;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4";2015-07-28 10:03:42
Landsat-5;223;1984-03-01;2011-11-18;Landsat;"USGS
NASA";SunSync;705 km;;;09:45 desc;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SEM/SSM
SSM/T";2015-07-28 10:04:22
Meteor-2-11;264;1984-07-05;1986-01-05;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SSM/I
SSM/T";2015-07-28 10:05:20
Himawari-3 (GMS-3);162;1984-08-03;1995-06-22;Himawari 1st generation (Geostationary Meteorological Satellite);"JMA
JAXA";GEO;35786 km;140 ° E;;;Inactive;"OLS
SEM/SSI/ES-2
SEM/SSJ4
SSM/T";2015-07-28 10:06:13
ERBS;88;1984-10-05;2005-10-14;Earth Radiation Budget Satellite;"NASA
";DRIFT;610 km;;57°;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SSM/I
SSM/T";2015-07-28 10:07:01
NOAA-9;331;1984-12-12;1998-02-13;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;850 km;;;14:30 asc;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SSM/I
SSM/T
SSM/T-2";2015-07-28 10:07:58
Meteor-2-12;265;1985-02-06;1986-07-06;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;940 km;;82.5°;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SEM/SSM
SSM/I
SSM/T
SSM/T-2";2015-07-28 10:08:49
GEOSat;133;1985-03-12;1990-01-31;Geodetic Satellite;"DoD
NASA";DRIFT;785 km;;108°;;Inactive;"OLS
SEM/SSB/X-2
SEM/SSI/ES-2
SEM/SSJ4
SEM/SSM
SSM/I
SSM/T";2015-07-28 10:09:45
Resurs-O1-1;376;1985-10-03;1986-11-11;Resurs Operational - 1;"Roscosmos
RosHydroMet";SunSync;620 km;;;10:15 asc;Inactive;"OLS
SEM/SSI/ES-2
SEM/SSJ4
SEM/SSM
SSM/I
SSM/T
SSM/T-2";2019-12-28 16:51:10
Meteor-3-1;276;1985-10-24;1987-10-24;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1200 km;;82.5°;;Inactive;"OLS
SEM/SSI/ES-2
SEM/SSJ4
SESS/SSM-Boom
SSM/I
SSM/T
SSM/T-2";2021-01-18 19:04:46
Meteor-2-13;266;1985-12-26;1987-06-26;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;"OLS
SESS/SSI/ES-3
SESS/SSJ5 
SESS/SSM-Boom
SESS/SSULI
SESS/SSUSI
SSMIS";2020-07-29 15:11:42
SPOT-1;412;1986-02-22;2003-08-02;Satellite Pour l’Observation de la Terre;"CNES
Spot Image";SunSync;822 km;;;10:30 desc;Inactive;"OLS
SESS/SSI/ES-3
SESS/SSJ5 
SESS/SSM-Boom
SESS/SSULI
SESS/SSUSI
SSMIS";2021-01-18 18:37:30
Meteor-2-14;267;1986-05-27;1987-11-27;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;"OLS
SESS/SSI/ES-3
SESS/SSJ5 
SESS/SSM-Boom
SESS/SSULI
SESS/SSUSI
SSMIS";2021-01-18 18:38:46
Okean-O1-1;350;1986-07-29;1988-07-29;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;"OLS
SESS/SSI/ES-3
SESS/SSJ5 
SESS/SSM-Boom
SESS/SSULI
SESS/SSUSI
SSMIS";2020-04-16 17:07:25
