Mission ID;Mission Name Short;Mission Name Full;Mission Agencies;Mission Status;Launch Date;EOL Date;Applications;Instruments;Instrument IDs;Orbit Type;Orbit Altitude;Orbit Period;Orbit Inclination;Repeat Cycle;Orbit LST;Orbit Longitude;Orbit Sense;Mission Site;Data Access Portal
768;Biomass;Biomass;ESA;Approved;oct-22;Apr 2028;Will provide global maps of forest biomass and height (at 200 m resolution) and forest disturbance (at 50 m resolution) every 6 months;P-Band SAR;1722;Sun-synchronous;660 km;102.6 mins;97.97 deg;;06:00;;Ascending;;
787;BJ-2;Beijing-2 Constellation;NRSCC, 21AT;Operational (nominal);11-juil-15;juil-22;High-resolution domestic mapping. Operational monitoring applications including urban planning and intelligent management. Constellation of three satellites spaced 120 degrees apart.;MSI (BJ-2), PAN (BJ-2);1748, 1747;Sun-synchronous;651 km;;;;;;;;
422;CALIPSO;Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations;NASA, CNES;Operational (extended);28 Apr 2006;sept-21;3-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3 channel lidar and passive instruments in formation with CloudSat for coincident observations of radiative fluxes and atmospheric state.;CALIOP, IIR, WFC;820, 696, 642;Sun-synchronous;688 km;98.3 mins;98.2 deg;;;;Ascending;http://www-calipso.larc.nasa.gov/;https://search.earthdata.nasa.gov/search?fp=CALIPSO
855;CARBONITE-2;CARBONITE-2;UKSA;Operational (nominal);12-janv-18;Dec 2021;Optical video imaging in a technology demonstration mission. Second satellite in the CARBONITE series of technology demonstration missions designed to demonstrate rapid-build techniques and to test COTS components and new avionics in orbit.;CARBONITE-2 Imager;1796;Sun-synchronous;500 km;94.6 mins;97.5 deg;;10:30;;Ascending;http://www.sstl.co.uk;
703;CARTOSAT-2A;Cartography Satellite - 2A;ISRO;Operational (extended);28 Apr 2008;Dec 2020;High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.;PAN (Cartosat-2A/2B);1586;Sun-synchronous;635 km;97.4 mins;97.87 deg;5;09:30;;Descending;;
672;CARTOSAT-2B;Cartography Satellite - 2B;ISRO;Operational (extended);12-juil-10;Dec 2020;High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.;PAN (Cartosat-2A/2B);1586;Sun-synchronous;635 km;97.4 mins;97.87 deg;5;09:30;;Descending;;
704;CARTOSAT-2C;Cartography Satellite - 2C;ISRO;Operational (nominal);22-juin-16;Dec 2021;High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.;HRMX, PAN (Cartosat-2C/2E);1603, 1647;Sun-synchronous;635 km;97.4 mins;97.87 deg;5;09:30;;Descending;;
738;CARTOSAT-2E;Cartography Satellite - 2E;ISRO;Operational (nominal);23-juin-17;juin-22;High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.;HRMX, PAN (Cartosat-2C/2E);1603, 1647;Sun-synchronous;500 km;97.4 mins;97.87 deg;5;09:30;;Descending;;
565;CARTOSAT-3;Cartography Satellite - 3;ISRO;Operational (nominal);27-nov-19;nov-24;Suitable for cadastral and infrastructure mapping and analysis.;MX (Cartosat-3), PAN (Cartosat-3);1611, 917;Sun-synchronous;450 km;;97.9 deg;;10:30;;Descending;http://www.isro.org/;
784;CAS500-1;Compact Advanced Satellite 500 -1;KARI, KAI, NGII;Commissioning;22-mars-21;mars-25;Cartography, land use and planning;High Resolution Optical Sensor;1740;Sun-synchronous;528 km;98.5 mins;98.1 deg;28;10:50;;Ascending;;
905;CAS500-2;Compact Advanced Satellite 500 -2;KARI, KAI, NGII;Approved;May 2021;May 2025;Cartography, land use and planning;High Resolution Optical Sensor;1740;Sun-synchronous;528 km;98.5 mins;98.1 deg;28;10:50;;Ascending;;
393;CBERS-4;China Brazil Earth Resources Satellite - 4;INPE, CRESDA;Operational (extended);07 Dec 2014;Dec 2020;Earth resources, environmental monitoring, land surface.;DCS , IRS, MUX, PAN (CBERS), WFI-2;822, 866, 818, 867, 817;Sun-synchronous;778 km;100.3 mins;98.5 deg;26;10:30;;Descending;http://www.cbers.inpe.br/;http:/www2.dgi.inpe.br/catalogo/explore
775;CBERS-4A;China Brazil Earth Resources Satellite - 4;INPE, CRESDA;Operational (nominal);20 Dec 2019;Dec 2024;Earth resources, environmental monitoring, land surface.;DCS, MUX (CBERS-4A), WFI (CBERS-4A), WPM;822, 1731, 1732, 1733;Sun-synchronous;629 km;97.3 mins;97.9 deg;31;10:30;;Descending;http://www.cbers.inpe.br/;http://www2.dgi.inpe.br/catalogo/explore
725;CDARS;CDARS;NOAA, USAF;Considered;2022;2025;Maintain three-orbit continuity for the Argos and SARSAT-COSPAS programs.;ARGOS-4, S&R (NOAA);694, 189;Sun-synchronous;;;;;;;Ascending;http://www.nesdis.noaa.gov/jpss/;
723;CFOSAT;Chinese-French Oceanic SATellite;CNES, CNSA;Operational (nominal);29-oct-18;oct-21;The primary objective of CFOSAT is to monitor at the global scale the wind and waves at the ocean surface.;SCAT, SWIM;1645, 1644;Sun-synchronous;519 km;94.7 mins;97.5 deg;;7am;;Descending;;
778;CLARREO Pathfinder-on-ISS;International Space Station/Climate Absolute Radiance & Reflectivity Observatory Pathfinder;NASA;Approved;mars-23;juin-24;1 year nominal mission. The goal of the Climate Absolute Radiance and Refractivity Observatory (CLARREO) mission is to improve our understanding of climate change by providing high accuracy measurements of the change in key climate variables over decadal timescales. CLARREO Pathfinder is a technical demonstration on the ISS and a major step in reducing the cost and technical risk for these high accuracy measurements.;CLARREO Pathfinder Reflected Solar (hyperspectral;1736;Inclined, non-sun-synchronous;425 km;90 mins;51 deg;;;;Ascending;https://clarreo-pathfinder.larc.nasa.gov/;
347;CloudSat;CloudSat;NASA, DoD (USA), CSA;Operational (nominal);28 Apr 2006;sept-21;"22-month nominal mission life, currently in extended operations. CloudSat uses advanced radar to ""slice"" through clouds to see their vertical structure, providing a completely new observational capability from space. First use of active 94 GHz radar from space to study clouds on global basis.";CPR (CloudSat);649;Sun-synchronous;689 km;98.3 mins;98.2 deg;;13:45;;Ascending;http://cloudsat.atmos.colostate.edu/;https://search.earthdata.nasa.gov/search?q=CloudSat
524;COMS;Communication, Oceanographic, Meteorological Satellite;KMA, KIOST, KARI, ASTRIUM;Operational (nominal);26-juin-10;mars-21;Korea's geostationary meteorological satellite series. The MI instrument ceased operations from 00UTC 1 April 2020.;GOCI, MI;886, 894;Geostationary;36000 km;;;;;128.2;N/A;;
771;COSMIC-2 FM1;COSMIC-2 FM1;NOAA, NSPO, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
926;COSMIC-2 FM2;COSMIC-2 FM2;NOAA, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
927;COSMIC-2 FM3;COSMIC-2 FM3;NOAA, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
928;COSMIC-2 FM4;COSMIC-2 FM4;NOAA, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
929;COSMIC-2 FM5;COSMIC-2 FM5;NOAA, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
930;COSMIC-2 FM6;COSMIC-2 FM6;NOAA, UCAR;Operational (nominal);25-juin-19;janv-26;This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).;IVM, RF Beacon, TGRS;1745, 1744, 1725;;520 km;;24 deg;;;;Ascending;http://www.cosmic.ucar.edu/;
395;COSMO-SkyMed 1;COnstellation of small Satellites for Mediterranean basin Observation - 1;ASI, MoD (Italy);Operational (extended);08-juin-07;Dec 2020;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;SAR 2000;704;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it/en/activity/earth_observation/cosmoskymed;
526;COSMO-SkyMed 2;COnstellation of small Satellites for Mediterranean basin Observation - 2;ASI, MoD (Italy);Operational (extended);09 Dec 2007;Dec 2020;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;SAR 2000;704;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it/en/activity/earth_observation/cosmoskymed;
527;COSMO-SkyMed 3;COnstellation of small Satellites for Mediterranean basin Observation - 3;ASI, MoD (Italy);Operational (extended);25-oct-08;Dec 2020;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;SAR 2000;704;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it/en/activity/earth_observation/cosmoskymed;
528;COSMO-SkyMed 4;COnstellation of small Satellites for Mediterranean basin Observation - 4;ASI, MoD (Italy);Operational (extended);06-nov-10;Dec 2020;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;SAR 2000;704;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it/en/activity/earth_observation/cosmoskymed;
529;CryoSat-2;CryoSat-2 (Earth Explorer Opportunity Mission);ESA;Operational (nominal);08 Apr 2010;Dec 2020;To determine fluctuations in the mass of the Earthâ€™s major land and marine ice fields.;DORIS-NG, Laser Reflectors (ESA), SIRAL;181, 767, 688;Inclined, non-sun-synchronous;717 km;100 mins;92 deg;369;0.25 degree nodal regression per day;;N/A;http://www.esa.int/cryosat;
849;CSES;China Seismo-Electromagnetic Satellite;CNSA, ASI;Operational (nominal);02 Feb 2018;Dec 2023;"Monitoring of electromagnetic field and waves, plasma and particle perturbations of the atmosphere, ionosphere and magnetosphere; and the study of their correlations with the occurrence of seismic events. Study of solar-terrestrial interactions and phenomena of solar physics; study of cosmic ray solar modulation.";HEPD;1788;Sun-synchronous;507 km;94.7 mins;97.4 deg;5;14:00;;Descending;http://cses.roma2.infn.it/;
634;CSG-1;COSMO-SkyMed di Seconda Generazione - 1;ASI, MoD (Italy);Operational (nominal);18 Dec 2019;Dec 2026;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;CSG SAR;1519;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it;
635;CSG-2;COSMO-SkyMed di Seconda Generazione - 2;ASI, MoD (Italy);Approved;Dec 2021;Dec 2028;Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.;CSG SAR;1519;Sun-synchronous;620 km;97.1 mins;97.8 deg;16;06:00;;Ascending;http://www.asi.it;
740;CYGNSS;Cyclone Global Navigation Satellite System;NASA, NOAA;Operational (nominal);15 Dec 2016;sept-23;To understand the coupling between ocean surface properties, moist atmospheric thermodynamics, radiation and convective dynamics in the inner core of a Tropical Cyclone (TC);DDMI (CYGNSS);1669;Inclined, non-sun-synchronous;520 km;95 mins;35 deg;;;;Ascending;http://aoss-research.engin.umich.edu/missions/cygnss/;https://podaac.jpl.nasa.gov/datasetlist?ids=Platform&values=CYGNSS&view=list
776;DESIS-on-ISS;DLR Earth Sensing Imaging Spectrometer for MUSES;DLR;Operational (nominal);29-juin-18;Dec 2023;"DESIS detects changes in the land surface, oceans and atmosphere; it will contribute to the development of effective measures to protect the environment and climate and allows scientists to detect changes in ecosystems and to make statements on the condition of forests and agricultural land. Among other things, its purpose is to secure and improve the global cultivation of food.";DESIS;1734;Inclined, non-sun-synchronous;407 km;93 mins;51.6 deg;;;;Ascending;;
423;Diademe 1&2;;CNES;Operational (nominal);15 Feb 1967;Dec 2050;Geodetic measurements using satellite laser ranging.;RRA;766;Inclined, non-sun-synchronous;1200 km;108 mins;40 deg;;;;TBD;http://galileo.crl.go.jp/ilrs/diademe.html;
853;DMC3;Disaster Monitoring Constellation-3;UKSA;Operational (nominal);10-juil-15;oct-22;A constellation of 3 high resolution optical imaging satellites for land use monitoring, urban planning, crop monitoring and pollution monitoring;VHRI-100;1798;Sun-synchronous;649 km;97.7 mins;98 deg;;10:30;;Ascending;http://www.sstl.co.uk;
345;DMSP F-15;Defense Meteorological Satellite Program F-15;NOAA, USAF;Operational (extended);12 Dec 1999;Dec 2020;The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis. (Primary operational satellite).;OLS, SSI/ES-2, SSJ/4, SSM, SSM/I, SSM/T-1, SSM/T-2;450, 633, 634, 635, 451, 452, 453;Sun-synchronous;833 km;101 mins;98.9 deg;;20:29;;Ascending;http://dmsp.ngdc.noaa.gov/dmsp.html;
381;DMSP F-16;Defense Meteorological Satellite Program F-16;NOAA, USAF;Operational (extended);18-oct-03;Dec 2020;The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.;OLS, SSI/ES-3, SSJ/5, SSM, SSM/IS, SSULI, SSUSI;450, 739, 740, 635, 454, 741, 742;Sun-synchronous;833 km;101 mins;98.9 deg;;21:32;;Ascending;http://dmsp.ngdc.noaa.gov/dmsp.html;
408;DMSP F-17;Defense Meteorological Satellite Program F-17;NOAA, USAF;Operational (extended);04-nov-06;Dec 2020;The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.;OLS, SSI/ES-3, SSM, SSM/IS, SSULI, SSUSI;450, 739, 635, 454, 741, 742;Sun-synchronous;850 km;101 mins;98.7 deg;;17:31;;Ascending;http://dmsp.ngdc.noaa.gov/dmsp.html;
409;DMSP F-18;Defense Meteorological Satellite Program F-18;NOAA, USAF;Operational (extended);18-oct-09;Dec 2020;The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.;OLS, SSI/ES-3, SSM, SSM/IS, SSULI, SSUSI;450, 739, 635, 454, 741, 742;Sun-synchronous;850 km;101 mins;98.7 deg;;17:31;;Ascending;http://dmsp.ngdc.noaa.gov/dmsp.html;
350;DSCOVR;Deep Space Climate Observatory;NOAA, USAF, NASA;Operational (extended);11 Feb 2015;janv-23;Measure a combination of solar phenomena and earth science measurements. Provides 15 min warning for solar storms (CME) events. Provides full disk Earth observations at 10 wavelengths with 2-4 hour cadence. This mission is positioned at the Earth-Sun L-1 point.;EPIC, ES, FC, NISTAR, PHA, PlasMag;1615, 1648, 1783, 647, 1649, 1650;Earth-Sun L-1;150000 km;259200 mins;;1;Every 3 months.;;N/A;http://www.nesdis.noaa.gov/DSCOVR/;https://search.earthdata.nasa.gov/search?q=DSCOVR
913;DubaiSat-2;DubaiSat-2;MBRSC, UAE SA;Operational (nominal);21-nov-13;nov-20;"DubaiSat-2 is a continuation of the Knowledge Transfer Programme that started with the manufacturing of DubaiSat-1. It provides satellite imaging services at a resolution of 1 meter to meet the needs of local and international clients. The mission objectives are: to develop a mini satellite system of less than 300 kg for Earth observation; to provide electro-optical imagery, that can be commercialized, of the UAE and other areas with a spatial resolution of 1m PAN (panchromatic) and 4m MS (multispectral) from a reference orbit of 600 km altitude; to develop and implement new technologies, not used in DubaiSat-1, that can be used in future space programmes; and, to continue training for UAE's space programme.";HiRAIS;1887;Sun-synchronous;600 km;;97.1 deg;8;10:30:00;;Descending;https://mbrsc.ae/en/page/dubai-sat-2;
580;EarthCARE;EarthCARE;ESA, JAXA;Approved;sept-22;sept-25;To Improve the understanding of atmospheric cloudâ€“aerosol interactions and of the Earth's radiative balance towards enhancing climate and numerical weather prediction models. The 2 active and 2 passive instruments of EarthCARE make unique data product synergies possible.;ATLID, BBR (EarthCARE), CPR (EarthCARE), MSI (EarthCARE);374, 937, 372, 938;Sun-synchronous;393 km;;97 deg;25;14:00;;Descending;http://www.esa.int/Our_Activities/Observing_the_Earth/The_Living_Planet_Programme/Earth_Explorers/EarthCARE/ESA_s_cloud_aerosol_and_radiation_mission;
765;ECOSTRESS-on-ISS;International Space Station/ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS);NASA, USGS;Operational (nominal);29-juin-18;sept-21;Uses a high-resolution thermal infrared radiometer to measure plant evapotranspiration, the loss of water from growing leaves and evaporation from the soil. These data will reveal how ecosystems change with climate and provide a critical link between the water cycle and effectiveness of plant growth, both natural and agricultural.;ECOSTRESS;1714;Inclined, non-sun-synchronous;407 km;93 mins;51.6 deg;;;;Ascending;https://ecostress.jpl.nasa.gov/;https://earthdata.nasa.gov/about/daacs/daac-lpdaac
530;Elektro-L N2;Geostationary Operational Meteorological Satellite;ROSKOSMOS, ROSHYDROMET;Operational (nominal);11 Dec 2015;Dec 2025;Hydrometeorology, heliogeophysics, climatology, cloud information.;DCS , GGAK-E, MSU-GS;799, 847, 784;Geostationary;35800 km;;;;;76;N/A;"http://planet.iitp.ru; http://eng.ntsomz.ru/ks_dzz/satellites";http://geoportal.ntsomz.ru/
611;Elektro-L N3;Geostationary Operational Meteorological Satellite;ROSKOSMOS, ROSHYDROMET;Operational (nominal);24 Dec 2019;Dec 2029;Hydrometeorology, heliogeophysics, climatology, cloud information.;DCS , GGAK-E, MSU-GS;799, 847, 784;Geostationary;35800 km;;;;;165.8;N/A;"http://planet.iitp.ru; http://eng.ntsomz.ru/ks_dzz/satellites";http://geoportal.ntsomz.ru/
873;Elektro-L N4;Geostationary Operational Meteorological Satellite;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2022;Dec 2032;Hydrometeorology, heliogeophysics, climatology, cloud information.;DCS, GGAK-E, MSU-GS;799, 847, 784;Geostationary;35800 km;;;;;;N/A;;
874;Elektro-L N5;Geostationary Operational Meteorological Satellite;ROSKOSMOS, ROSHYDROMET;Planned;2023;2033;Hydrometeorology, heliogeophysics, climatology, cloud information.;DCS, GGAK-E, MSU-GS;799, 847, 784;Geostationary;35800 km;;;;;;N/A;;
923;EMIT-on-ISS;International Space Station/Earth Surface Mineral Dust Source Investigation (EMIT);NASA;Approved;oct-22;nov-23;Imaging spectroscopy from the visible to short wavelength infrared (VSWIR) to close the gap in knowledge of the compostion of the Earths' mineral dust source regions. Uses these new measurements with Earth System models to constrain the sign and magnitude of current dust-related radiative forcing at regional and global scales and predict the increase or decrease of available dust sources under future climate scenarios. Deliver these first of their kind comprehensive measurements to the Earth science and applications community.;EMIT;1901;Inclined, non-sun-synchronous;407 km;93 mins;51.6 deg;;;;Ascending;https://estd.jpl.nasa.gov/emit;https://earthdata.nasa.gov/about/daacs/daac-lpdaac
600;EnMAP;Environmental Mapping & Analysis Program;DLR;Approved;Feb 2022;sept-26;Hyperspectral imaging, land surface, geological and environmental investigation.;HSI;964;Sun-synchronous;650 km;97.5 mins;;21;11:00;;Descending;http://www.enmap.org/;
730;ePOP on CASSIOPE;Enhanced Polar Outflow Probe on the CAScade, Smallsat and IOnospheric Polar Explorer;CSA, MDA;Operational (nominal);29-sept-13;Apr 2024;The ePOP probe observes the Earthâ€™s ionosphere, where space meets the upper atmosphere. The instruments are used in conjunction with other satellite-based and ground-based instruments to analyze radio wave propagation in the ionosphere, measure the densities of ionized particles, and observe the aurora from space, all as they respond to space weather. The orbit is 450 km to 1500 km. Note: MDA is the owner and University of Calgary is the operator.;CER, FAI, GAP, IRM, MGF, NMS, RRI, SEI;1656, 1705, 1707, 1708, 1709, 1710, 1706, 1704;Inclined, non-sun-synchronous;450 km;101 mins;81 deg;;;;N/A;http://epop.phys.ucalgary.ca/;http://epop.phys.ucalgary.ca/data.html
944;FireBIRD 1 (TET-1);Technologie-Erprobungsträger 1 / Technology Experiment Carrier 1 (TET-1);DLR;Operational (nominal);22-juil-12;Dec 2020;"The FireBIRD mission uses the TET-1 (Technologie-Erprobungsträger 1;Technology Experiment Carrier 1) and BIROS (Bi-spectral InfraRed Optical System) satellites to detect high temperature events on Earthâ€™s surface. They can also precisely capture small, low energy events thanks to the sensitivity of the sensors and the high precision and resolution. These might include heat irregularities such as volcanoes, burning ships, industry hotspots, gas flares, chemical heat generation and smouldering fires.";HSRS (FireBIRD 1 (TET-1));1908;Sun-synchronous;420 km;92.8 mins;97.6 deg;;;;Ascending;https://www.dlr.de/content/en/missions/firebird.html https://www.dlr.de/content/en/articles/missions-projects/firebird/tet-1.html;
945;FireBIRD 2 (BIROS);Bispectral InfraRed Optical System (BIROS);DLR;Operational (nominal);22-juin-16;Dec 2020;"The FireBIRD mission uses the TET-1 (Technologie-Erprobungsträger 1;Technology Experiment Carrier 1) and BIROS (Bi-spectral InfraRed Optical System) satellites to detect high temperature events on Earthâ€™s surface. They can also precisely capture small, low energy events thanks to the sensitivity of the sensors and the high precision and resolution. These might include heat irregularities such as volcanoes, burning ships, industry hotspots, gas flares, chemical heat generation and smouldering fires.";;;Sun-synchronous;510 km;94.6 mins;97.4 deg;;;;Descending;https://www.dlr.de/content/en/missions/firebird.html https://www.dlr.de/content/en/articles/missions-projects/firebird/biros.html;
836;FLEX;Fluorescence Explorer;ESA;Approved;Apr 2024;Apr 2027;Mapping vegetation fluorescence to quantify photosynthetic activity.;FLORIS;1778;Sun-synchronous;815 km;;;;;;Ascending;https://earth.esa.int/web/guest/missions/esa-future-missions/flex;
531;FY-2F;FY-2F Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Operational (extended);13-janv-12;Dec 2020;"Meteorology and environmental monitoring; data collection and redistribution.";IVISSR (FY-2);665;Geostationary;36000 km;;;;;;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
